,count,champion,team,role
0,4.0,K'Sante,DIG,TOP
1,1.0,Fiora,DIG,TOP
2,1.0,Jax,DIG,TOP
3,1.0,Poppy,DIG,TOP
4,5.0,Sejuani,DIG,JUNGLE
5,2.0,Maokai,DIG,JUNGLE
6,3.0,Azir,DIG,MIDDLE
7,1.0,Ahri,DIG,MIDDLE
8,1.0,LeBlanc,DIG,MIDDLE
9,1.0,Tristana,DIG,MIDDLE
10,1.0,Xerath,DIG,MIDDLE
11,1.0,Aphelios,DIG,BOTTOM
12,1.0,Ashe,DIG,BOTTOM
13,1.0,Jinx,DIG,BOTTOM
14,1.0,Kai'Sa,DIG,BOTTOM
15,1.0,Varus,DIG,BOTTOM
16,1.0,Xayah,DIG,BOTTOM
17,1.0,Zeri,DIG,BOTTOM
18,3.0,Rell,DIG,UTILITY
19,1.0,Alistar,DIG,UTILITY
20,1.0,Milio,DIG,UTILITY
21,1.0,Nautilus,DIG,UTILITY
22,1.0,Thresh,DIG,UTILITY
23,4.0,Renekton,EG,TOP
24,1.0,Aatrox,EG,TOP
25,1.0,Gragas,EG,TOP
26,1.0,Jax,EG,TOP
27,5.0,Sejuani,EG,JUNGLE
28,1.0,Ivern,EG,JUNGLE
29,1.0,Rell,EG,JUNGLE
30,5.0,Jayce,EG,MIDDLE
31,1.0,Azir,EG,MIDDLE
32,1.0,Kai'Sa,EG,MIDDLE
33,4.0,Aphelios,EG,BOTTOM
34,1.0,Draven,EG,BOTTOM
35,1.0,Kai'Sa,EG,BOTTOM
36,1.0,Varus,EG,BOTTOM
37,2.0,Rell,EG,UTILITY
38,1.0,Braum,EG,UTILITY
39,1.0,Janna,EG,UTILITY
40,1.0,Lulu,EG,UTILITY
41,1.0,Milio,EG,UTILITY
42,1.0,Rakan,EG,UTILITY
43,10.0,K'Sante,GG,TOP
44,8.0,Jax,GG,TOP
45,5.0,Rumble,GG,TOP
46,3.0,Renekton,GG,TOP
47,2.0,Poppy,GG,TOP
48,1.0,Gwen,GG,TOP
49,1.0,Ornn,GG,TOP
50,1.0,Yone,GG,TOP
51,6.0,Sejuani,GG,JUNGLE
52,5.0,Maokai,GG,JUNGLE
53,3.0,Jarvan IV,GG,JUNGLE
54,3.0,Kindred,GG,JUNGLE
55,3.0,Vi,GG,JUNGLE
56,3.0,Viego,GG,JUNGLE
57,2.0,Nautilus,GG,JUNGLE
58,2.0,Nocturne,GG,JUNGLE
59,1.0,Jax,GG,JUNGLE
60,1.0,Kha'Zix,GG,JUNGLE
61,1.0,Poppy,GG,JUNGLE
62,1.0,Rell,GG,JUNGLE
63,6.0,Azir,GG,MIDDLE
64,5.0,Jayce,GG,MIDDLE
65,3.0,Sylas,GG,MIDDLE
66,3.0,Taliyah,GG,MIDDLE
67,3.0,Tristana,GG,MIDDLE
68,2.0,Ahri,GG,MIDDLE
69,2.0,LeBlanc,GG,MIDDLE
70,2.0,Yone,GG,MIDDLE
71,1.0,Akali,GG,MIDDLE
72,1.0,Annie,GG,MIDDLE
73,1.0,K'Sante,GG,MIDDLE
74,1.0,Lissandra,GG,MIDDLE
75,1.0,Neeko,GG,MIDDLE
76,8.0,Aphelios,GG,BOTTOM
77,6.0,Kai'Sa,GG,BOTTOM
78,4.0,Ezreal,GG,BOTTOM
79,3.0,Xayah,GG,BOTTOM
80,2.0,Ashe,GG,BOTTOM
81,2.0,Lucian,GG,BOTTOM
82,2.0,Tristana,GG,BOTTOM
83,2.0,Varus,GG,BOTTOM
84,2.0,Zeri,GG,BOTTOM
85,7.0,Rakan,GG,UTILITY
86,5.0,Leona,GG,UTILITY
87,5.0,Nautilus,GG,UTILITY
88,5.0,Rell,GG,UTILITY
89,2.0,Braum,GG,UTILITY
90,2.0,Nami,GG,UTILITY
91,1.0,Amumu,GG,UTILITY
92,1.0,Lulu,GG,UTILITY
93,1.0,Maokai,GG,UTILITY
94,1.0,Renata Glasc,GG,UTILITY
95,1.0,Zac,GG,UTILITY
96,1.0,Gragas,TSM,TOP
97,1.0,Malphite,TSM,TOP
98,1.0,Poppy,TSM,TOP
99,1.0,Renekton,TSM,TOP
100,3.0,Maokai,TSM,JUNGLE
101,1.0,Wukong,TSM,JUNGLE
102,1.0,Ahri,TSM,MIDDLE
103,1.0,Graves,TSM,MIDDLE
104,1.0,Jayce,TSM,MIDDLE
105,1.0,Tristana,TSM,MIDDLE
106,1.0,Ashe,TSM,BOTTOM
107,1.0,Jhin,TSM,BOTTOM
108,1.0,Jinx,TSM,BOTTOM
109,1.0,Xayah,TSM,BOTTOM
110,2.0,Alistar,TSM,UTILITY
111,1.0,Braum,TSM,UTILITY
112,1.0,Karma,TSM,UTILITY
113,3.0,Renekton,FLY,TOP
114,1.0,Gragas,FLY,TOP
115,1.0,Ivern,FLY,JUNGLE
116,1.0,Sejuani,FLY,JUNGLE
117,1.0,Vi,FLY,JUNGLE
118,1.0,Viego,FLY,JUNGLE
119,2.0,Azir,FLY,MIDDLE
120,1.0,Annie,FLY,MIDDLE
121,1.0,Sylas,FLY,MIDDLE
122,2.0,Aphelios,FLY,BOTTOM
123,2.0,Xayah,FLY,BOTTOM
124,1.0,Milio,FLY,UTILITY
125,1.0,Rakan,FLY,UTILITY
126,1.0,Rell,FLY,UTILITY
127,1.0,Thresh,FLY,UTILITY
128,2.0,Ornn,TL,TOP
129,1.0,Aatrox,TL,TOP
130,1.0,Fiora,TL,TOP
131,1.0,Gwen,TL,TOP
132,1.0,Jax,TL,TOP
133,1.0,K'Sante,TL,TOP
134,1.0,Kennen,TL,TOP
135,1.0,Rumble,TL,TOP
136,4.0,Viego,TL,JUNGLE
137,2.0,Wukong,TL,JUNGLE
