player_name,champion,position,avgKills,avgDeaths,avgAssists,avgKDA,gamesPlayed
C9 Berserker,Ezreal,BOTTOM,5.388349514563107,3.8737864077669903,5.368932038834951,2.7769423558897244,103
C9 EMENES,Syndra,MIDDLE,4.91919191919192,3.98989898989899,5.9393939393939394,2.721518987341772,99
C9 EMENES,LeBlanc,MIDDLE,5.376344086021505,3.3118279569892475,5.56989247311828,3.305194805194805,93
C9 Zven,Alistar,UTILITY,1.3012048192771084,4.674698795180723,11.024096385542169,2.63659793814433,83
C9 EMENES,Orianna,MIDDLE,5.493150684931507,3.2465753424657535,6.726027397260274,3.7637130801687766,73
C9 Berserker,Caitlyn,BOTTOM,6.152777777777778,4.041666666666667,5.125,2.790378006872852,72
C9 EMENES,Sylas,MIDDLE,6.3,5.3428571428571425,5.957142857142857,2.2941176470588234,70
C9 Berserker,Kai'Sa,BOTTOM,7.492753623188406,3.2028985507246377,5.463768115942029,4.04524886877828,69
GG Gori,Sylas,MIDDLE,5.898550724637682,4.260869565217392,5.27536231884058,2.622448979591837,69
GG Gori,Azir,MIDDLE,4.904761904761905,4.0,6.9523809523809526,2.9642857142857144,63
C9 Berserker,Kalista,BOTTOM,7.426229508196721,4.754098360655738,5.377049180327869,2.6931034482758616,61
C9 Berserker,Zeri,BOTTOM,5.683333333333334,4.433333333333334,5.133333333333334,2.4398496240601504,60
GG Gori,Yone,MIDDLE,5.915254237288136,4.932203389830509,4.627118644067797,2.1374570446735395,59
C9 Zven,Rakan,UTILITY,1.5,3.482142857142857,12.642857142857142,4.061538461538461,56
C9 EMENES,Akali,MIDDLE,7.363636363636363,3.418181818181818,3.8545454545454545,3.2819148936170217,55
C9 Berserker,Draven,BOTTOM,6.1,4.38,5.08,2.5525114155251143,50
C9 Berserker,Aphelios,BOTTOM,6.591836734693878,3.9591836734693877,5.285714285714286,3.0,49
GG Gori,Akali,MIDDLE,6.521739130434782,3.9782608695652173,3.5,2.519125683060109,46
GG Gori,LeBlanc,MIDDLE,5.744186046511628,2.627906976744186,5.116279069767442,4.132743362831858,43
GG Gori,Ahri,MIDDLE,6.166666666666667,3.0238095238095237,6.904761904761905,4.322834645669292,42
C9 Zven,Nautilus,UTILITY,1.2439024390243902,4.487804878048781,10.902439024390244,2.7065217391304346,41
GG Gori,Orianna,MIDDLE,5.948717948717949,3.3333333333333335,7.0256410256410255,3.8923076923076922,39
GG Stixxay,Kai'Sa,BOTTOM,8.526315789473685,4.184210526315789,6.578947368421052,3.610062893081761,38
C9 Berserker,Gwen,TOP,4.111111111111111,4.111111111111111,3.6944444444444446,1.8986486486486487,36
C9 EMENES,Jayce,MIDDLE,6.0,5.088235294117647,5.5,2.260115606936416,34
C9 Berserker,Lucian,BOTTOM,6.911764705882353,4.117647058823529,4.147058823529412,2.685714285714286,34
GG Gori,Vex,MIDDLE,6.818181818181818,4.151515151515151,6.333333333333333,3.1678832116788325,33
GG River,Lee Sin,JUNGLE,7.151515151515151,4.606060606060606,7.242424242424242,3.125,33
C9 Berserker,Xayah,BOTTOM,6.75,3.59375,6.40625,3.6608695652173915,32
C9 Berserker,Tristana,BOTTOM,7.419354838709677,3.4838709677419355,5.032258064516129,3.574074074074074,31
C9 Berserker,Samira,BOTTOM,9.033333333333333,4.1,4.166666666666667,3.2195121951219514,30
C9 Fudge,Jax,TOP,4.655172413793103,3.4827586206896552,4.0,2.485148514851485,29
GG Gori,Taliyah,MIDDLE,4.655172413793103,4.379310344827586,5.827586206896552,2.3937007874015745,29
GG Gori,Yone,TOP,5.285714285714286,4.392857142857143,4.785714285714286,2.292682926829268,28
GG River,Taliyah,JUNGLE,6.5,5.035714285714286,9.357142857142858,3.148936170212766,28
GG Gori,Zoe,MIDDLE,5.333333333333333,2.888888888888889,5.111111111111111,3.615384615384615,27
C9 Fudge,Akali,TOP,6.074074074074074,4.222222222222222,4.111111111111111,2.4122807017543857,27
C9 EMENES,Yone,MIDDLE,5.851851851851852,4.814814814814815,4.148148148148148,2.076923076923077,27
GG River,Jarvan IV,JUNGLE,5.8076923076923075,4.384615384615385,11.615384615384615,3.9736842105263155,26
C9 Fudge,Yone,TOP,5.88,3.84,3.56,2.4583333333333335,25
C9 EMENES,Aatrox,TOP,4.166666666666667,5.208333333333333,5.958333333333333,1.9440000000000002,24
C9 Fudge,Aatrox,TOP,5.333333333333333,3.375,6.875,3.6172839506172836,24
C9 EMENES,Tryndamere,MIDDLE,5.458333333333333,4.625,5.333333333333333,2.333333333333333,24
C9 Zven,Rell,UTILITY,1.6956521739130435,4.521739130434782,13.130434782608695,3.2788461538461537,23
GG River,Elise,JUNGLE,6.454545454545454,3.4545454545454546,7.636363636363637,4.078947368421052,22
C9 Blaber,Taliyah,JUNGLE,7.318181818181818,3.8181818181818183,9.409090909090908,4.3809523809523805,22
GG River,Viego,JUNGLE,6.809523809523809,3.7142857142857144,6.857142857142857,3.6794871794871793,21
C9 Blaber,Lee Sin,JUNGLE,8.571428571428571,3.4761904761904763,7.9523809523809526,4.753424657534247,21
C9 Blaber,Nidalee,JUNGLE,6.35,2.75,8.35,5.345454545454545,20
C9 EMENES,Vex,MIDDLE,7.05,5.55,7.45,2.6126126126126126,20
GG Gori,Jayce,MIDDLE,5.2,3.7,4.95,2.7432432432432434,20
GG Gori,Syndra,MIDDLE,6.7368421052631575,3.263157894736842,4.947368421052632,3.5806451612903225,19
GG Stixxay,Kalista,BOTTOM,10.157894736842104,4.421052631578948,5.526315789473684,3.547619047619047,19
GG Licorice,Jax,TOP,5.277777777777778,2.5,4.722222222222222,4.0,18
C9 Blaber,Bel'Veth,JUNGLE,6.277777777777778,3.3333333333333335,6.444444444444445,3.8166666666666664,18
C9 Berserker,Jinx,BOTTOM,7.0,3.5555555555555554,6.388888888888889,3.7656250000000004,18
C9 EMENES,K'Sante,MIDDLE,4.444444444444445,4.777777777777778,6.055555555555555,2.197674418604651,18
GG River,Hecarim,JUNGLE,5.888888888888889,3.388888888888889,6.611111111111111,3.6885245901639343,18
GG Gori,K'Sante,MIDDLE,4.722222222222222,2.5,5.833333333333333,4.222222222222222,18
GG Stixxay,Zeri,BOTTOM,6.833333333333333,4.666666666666667,5.666666666666667,2.6785714285714284,18
