game_urn,seq_idx,event_date_time,game_time,monster_type,dragon_type,killer_team_urn,killer_team,killer_urn,killer,assistants,pos_x,pos_y,killer_team_perid,killer_perid,upsert_at
live:lol:riot:map:esportstmnt01-3373466,0,6/14/2023 9:14 PM,96867,raptor,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,,6963,4753,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,6/14/2023 10:04 PM
live:lol:riot:map:esportstmnt01-3373466,1,6/14/2023 9:15 PM,135819,wolf,,live:lol:riot:team:98767991877340524,C9,live:lol:riot:player:7f12e011-7e41-3b24-a73e-4b2ac311122e,Blaber,,3268,6923,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:player:4021e06c-1d01-4cbe-8a72-990e42bf7666,6/14/2023 10:04 PM
live:lol:riot:map:esportstmnt01-3373466,2,6/14/2023 9:15 PM,160069,raptor,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,,7671,9942,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,6/14/2023 10:04 PM
live:lol:riot:map:esportstmnt01-3373466,3,6/14/2023 9:15 PM,163135,blueCamp,,live:lol:riot:team:98767991877340524,C9,live:lol:riot:player:7f12e011-7e41-3b24-a73e-4b2ac311122e,Blaber,,2694,8422,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:player:4021e06c-1d01-4cbe-8a72-990e42bf7666,6/14/2023 10:04 PM
live:lol:riot:map:esportstmnt01-3373466,4,6/14/2023 9:16 PM,176837,gromp,,live:lol:riot:team:98767991877340524,C9,live:lol:riot:player:7f12e011-7e41-3b24-a73e-4b2ac311122e,Blaber,,2951,7926,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:player:4021e06c-1d01-4cbe-8a72-990e42bf7666,6/14/2023 10:04 PM
live:lol:riot:map:esportstmnt01-3373466,5,6/14/2023 9:16 PM,181286,redCamp,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,,6976,11303,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,6/14/2023 10:04 PM
live:lol:riot:map:esportstmnt01-3373466,6,6/14/2023 9:16 PM,209563,redCamp,,live:lol:riot:team:98767991877340524,C9,live:lol:riot:player:7f12e011-7e41-3b24-a73e-4b2ac311122e,Blaber,,7607,2609,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:player:4021e06c-1d01-4cbe-8a72-990e42bf7666,6/14/2023 10:04 PM
live:lol:riot:map:esportstmnt01-3373466,7,6/14/2023 9:16 PM,213066,wolf,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,,10314,8680,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,6/14/2023 10:04 PM
live:lol:riot:map:esportstmnt01-3373466,8,6/14/2023 9:16 PM,219438,krug,,live:lol:riot:team:98767991877340524,C9,live:lol:riot:player:7f12e011-7e41-3b24-a73e-4b2ac311122e,Blaber,,8046,2236,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:player:4021e06c-1d01-4cbe-8a72-990e42bf7666,6/14/2023 10:04 PM
live:lol:riot:map:esportstmnt01-3373466,9,6/14/2023 9:17 PM,233487,scuttleCrab,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,,10842,4890,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,6/14/2023 10:04 PM
live:lol:riot:map:esportstmnt01-3373466,10,6/14/2023 9:17 PM,269498,raptor,,live:lol:riot:team:98767991877340524,C9,live:lol:riot:player:7f12e011-7e41-3b24-a73e-4b2ac311122e,Blaber,,6853,4942,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:player:4021e06c-1d01-4cbe-8a72-990e42bf7666,6/14/2023 10:04 PM
live:lol:riot:map:esportstmnt01-3373466,11,6/14/2023 9:18 PM,286277,blueCamp,,live:lol:riot:team:99294153824386385,GG,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,,11429,6722,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,6/14/2023 10:04 PM
live:lol:riot:map:esportstmnt01-3373466,12,6/14/2023 9:18 PM,291948,scuttleCrab,,live:lol:riot:team:98767991877340524,C9,live:lol:riot:player:7f12e011-7e41-3b24-a73e-4b2ac311122e,Blaber,,4284,9227,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:player:4021e06c-1d01-4cbe-8a72-990e42bf7666,6/14/2023 10:04 PM
