game_urn,player_urn,team_urn,region,game_start_datetime,best_of,curr_game,player,team,champion,side,role,opp_player_urn,opp_player,opp_team_urn,opp_team,opp_champion,result,kills,deaths,assists,double_kills,triple_kills,quad_kills,penta_kills,first_blood,avg_mins_between_kills,avg_mins_between_deaths,solo_kills,iso_deaths,minion_kills,neutral_minion_kills,neutral_minion_kills_team_jungle,neutral_minion_kills_enemy_jungle,perc_in_mid_lane,num_recalls,total_damage_teamfights,avg_damage_per_teamfight,dmg_to_champs_per_min,dmg_shielded_on_team_per_min,dmg_healed_on_team_per_min,total_gold,gold_at_15m,gold_diff_at_15m,wards_placed,wards_killed,vision_score,jungle_prox,duo_prox,team_perid,player_perid,opp_player_perid,opp_team_urn_perid,upsert_at,gold_at_20m,gold_diff_at_20m
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:37643ce5-d0ef-31f1-a000-ac08512edb29,live:lol:riot:team:99294153824386385,LCS,6/14/2023 9:13 PM,1,1,huhi,GG,Nami,red,sup,live:lol:riot:player:c5b97127-7d85-3d54-ab35-e75d74488aa3,Zven,live:lol:riot:team:98767991877340524,C9,Milio,0,1,2,4,0,0,0,0,0,,1.8268,0,0,17,0,0,0,0.14256065774283538,7,2109.68701171875,301.3838588169643,167.48461040657338,51.63777142797704,211.0413398680275,6292,4083,999,36,12,87.4574966430664,0.3221472222222222,0.43061111111111117,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:cd2bc07a-142e-4f89-bb89-b48eff232125,esports:player:f055bb59-5b23-4ba1-babe-f3624123a3cd,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,6/14/2023 10:04 PM,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:051c9431-16d0-3872-98c4-c36fb164d5fd,live:lol:riot:team:98767991877340524,LCS,6/14/2023 9:13 PM,1,1,Fudge,C9,KSante,blue,top,live:lol:riot:player:5b83854f-e384-3428-ba34-6e138b1619c7,Licorice,live:lol:riot:team:99294153824386385,GG,Ornn,1,0,0,8,0,0,0,0,0,,,0,0,238,0,0,0,0.04314254704143752,7,5027.047119140625,718.1495884486607,443.3787695973502,21.861664960571627,0,10824,5663,89,14,2,28.866512298583984,0.08754722222222222,,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:player:6c3f2a06-dbbc-4e07-8e68-2d83b0020adb,esports:player:112a2549-b3ca-4094-91f1-d5092386e9ba,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,6/14/2023 10:04 PM,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:7f12e011-7e41-3b24-a73e-4b2ac311122e,live:lol:riot:team:98767991877340524,LCS,6/14/2023 9:13 PM,1,1,Blaber,C9,Kindred,blue,jng,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,live:lol:riot:team:99294153824386385,GG,Jax,1,4,1,2,1,0,0,0,0,4.055916666666667,,0,1,28,178.39996337890625,123.3000259399414,8.600000381469727,0.1019570441612322,7,5032.012451171875,718.8589215959821,647.2753849250238,0,32.14440991022631,11463,5839,1609,15,8,49.71051025390625,0.39361944444444447,,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:player:4021e06c-1d01-4cbe-8a72-990e42bf7666,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,6/14/2023 10:04 PM,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:8146eacb-7313-3639-ac26-05602336c394,live:lol:riot:team:98767991877340524,LCS,6/14/2023 9:13 PM,1,1,EMENES,C9,Gragas,blue,mid,live:lol:riot:player:f71f63d9-8116-3f70-8f1d-473f68f07653,Gori,live:lol:riot:team:99294153824386385,GG,Ahri,1,0,3,6,0,0,0,0,0,,6.344216666666667,0,2,189,0,0,0,0.47251738319770065,6,4168.54150390625,595.5059291294643,402.5869995450196,0,0,8651,4562,-456,10,2,20.07431411743164,0.22500416666666664,,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:player:c39d6f48-788f-4bf4-9f37-34e816be90a4,esports:player:479968d8-7d7c-44e2-9940-22b720d7cb1e,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,6/14/2023 10:04 PM,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:571444c9-662e-38fc-b857-4fac1f44a1a8,live:lol:riot:team:98767991877340524,LCS,6/14/2023 9:13 PM,1,1,Berserker,C9,Zeri,blue,bot,live:lol:riot:player:da579c1d-57b1-3e2e-824c-f6ee9ada19dc,Stixxay,live:lol:riot:team:99294153824386385,GG,Lucian,1,5,0,3,2,1,0,0,0,0.49524583333333333,,0,0,263,10.799999237060547,4,2.8000001907348633,0.19972096237310924,8,2131.2061767578125,304.45802525111606,438.2427729585063,0,0,12373,5058,-152,8,13,37.72134017944336,0.057466666666666666,,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:player:baacf11d-0bdc-44b8-8b93-d059be564cf9,esports:player:c5cf45d3-5fd9-4ce8-8163-e5755a5291c2,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,6/14/2023 10:04 PM,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:c5b97127-7d85-3d54-ab35-e75d74488aa3,live:lol:riot:team:98767991877340524,LCS,6/14/2023 9:13 PM,1,1,Zven,C9,Milio,blue,sup,live:lol:riot:player:37643ce5-d0ef-31f1-a000-ac08512edb29,huhi,live:lol:riot:team:99294153824386385,GG,Nami,1,0,1,7,0,0,0,0,0,,,0,0,12,0,0,0,0.10370142835201966,10,895.271728515625,127.89596121651786,94.11488899557983,133.47936542051715,152.42507740812403,6249,3084,-999,36,10,76.17522430419922,0.09863888888888889,0.6930222222222222,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,esports:player:f055bb59-5b23-4ba1-babe-f3624123a3cd,esports:player:cd2bc07a-142e-4f89-bb89-b48eff232125,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,6/14/2023 10:04 PM,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:5b83854f-e384-3428-ba34-6e138b1619c7,live:lol:riot:team:99294153824386385,LCS,6/14/2023 9:13 PM,1,1,Licorice,GG,Ornn,red,top,live:lol:riot:player:051c9431-16d0-3872-98c4-c36fb164d5fd,Fudge,live:lol:riot:team:98767991877340524,C9,KSante,0,1,3,0,0,0,0,0,1,,6.082191666666667,0,1,231,0,0,0,0.055287419185376455,3,4801.693359375,685.9561941964286,389.94281314113726,0,57.65690508139234,9023,5574,-89,13,2,25.825780868530273,0.022211111111111112,,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:112a2549-b3ca-4094-91f1-d5092386e9ba,esports:player:6c3f2a06-dbbc-4e07-8e68-2d83b0020adb,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,6/14/2023 10:04 PM,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,live:lol:riot:team:99294153824386385,LCS,6/14/2023 9:13 PM,1,1,River,GG,Jax,red,jng,live:lol:riot:player:7f12e011-7e41-3b24-a73e-4b2ac311122e,Blaber,live:lol:riot:team:98767991877340524,C9,Kindred,0,2,2,1,0,0,0,0,0,5.025566666666666,1.7832666666666668,0,0,13,141.80001831054688,113.10002899169922,7.200000286102295,0.08718768825898095,6,3789.0391845703125,541.2913120814732,240.31056509046064,0,0,8089,4230,-1609,13,4,35.940067291259766,0.4456861111111111,,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,esports:player:4021e06c-1d01-4cbe-8a72-990e42bf7666,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,6/14/2023 10:04 PM,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:f71f63d9-8116-3f70-8f1d-473f68f07653,live:lol:riot:team:99294153824386385,LCS,6/14/2023 9:13 PM,1,1,Gori,GG,Ahri,red,mid,live:lol:riot:player:8146eacb-7313-3639-ac26-05602336c394,EMENES,live:lol:riot:team:98767991877340524,C9,Gragas,0,0,0,3,0,0,0,0,0,,,0,0,227,0,0,0,0.42563941428387225,9,4024.7294921875,574.9613560267857,495.9418223923015,0,0,9823,5018,456,8,8,30.07374382019043,0.18468055555555554,,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:479968d8-7d7c-44e2-9940-22b720d7cb1e,esports:player:c39d6f48-788f-4bf4-9f37-34e816be90a4,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,6/14/2023 10:04 PM,,
live:lol:riot:map:esportstmnt01-3373466,live:lol:riot:player:da579c1d-57b1-3e2e-824c-f6ee9ada19dc,live:lol:riot:team:99294153824386385,LCS,6/14/2023 9:13 PM,1,1,Stixxay,GG,Lucian,red,bot,live:lol:riot:player:571444c9-662e-38fc-b857-4fac1f44a1a8,Berserker,live:lol:riot:team:98767991877340524,C9,Zeri,0,1,2,1,0,0,0,0,0,,1.97985,0,0,250,4.400000095367432,0.4000000059604645,0,0.2338146550308952,7,2521.7351684570312,360.2478812081473,344.7194093967392,0,0,9580,5210,152,14,6,33.77629089355469,0.11662499999999999,,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:c5cf45d3-5fd9-4ce8-8163-e5755a5291c2,esports:player:baacf11d-0bdc-44b8-8b93-d059be564cf9,esports:team:c2be4c5e-e1e3-4c05-8098-914da28289ab,6/14/2023 10:04 PM,,
